Type,Time_Period,segment,Year,direction,id,travel_time,Toll_Rate
EL,AM1,10,2024,WB,207852,0.125583,0.8
EL,AM1,10,2024,WB,207600,0.341339,0.8
EL,AM1,10,2024,WB,207601,0.134851,0.8
EL,AM1,10,2024,WB,207602,0.36062,0.8
EL,AM1,10,2024,WB,207603,0.129769,0.8
EL,AM1,10,2024,WB,207604,0.279209,0.8
EL,AM1,10,2024,WB,207805,0.56824,0.8
EL,AM1,9,2024,WB,207605,0.060649,0.8
EL,AM1,9,2024,WB,207606,0.120895,0.8
EL,AM1,9,2024,WB,207607,0.018644,0.8
EL,AM1,9,2024,WB,207916,0.091271,0.8
EL,AM1,9,2024,WB,207608,0.160146,0.8
EL,AM1,9,2024,WB,207609,0.158341,0.8
EL,AM1,9,2024,WB,207610,0.173321,0.8
EL,AM1,9,2024,WB,207611,0.171313,0.8
EL,AM1,9,2024,WB,207612,0.209849,0.8
EL,AM1,9,2024,WB,207613,0.200128,0.8
EL,AM1,9,2024,WB,207614,0.199005,0.8
EL,AM1,9,2024,WB,207615,0.089338,0.8
EL,AM1,9,2024,WB,207806,0.101931,0.8
EL,AM1,9,2024,WB,207599,0.013246,0.8
EL,AM1,8,2024,WB,207616,0.298935,0.8
EL,AM1,8,2024,WB,207909,0.115706,0.8
EL,AM1,8,2024,WB,207617,0.083964,0.8
EL,AM1,8,2024,WB,207618,0.096114,0.8
EL,AM1,8,2024,WB,207619,0.094465,0.8
EL,AM1,8,2024,WB,207620,0.090035,0.8
EL,AM1,8,2024,WB,207621,0.086922,0.8
EL,AM1,8,2024,WB,207622,0.08531,0.8
EL,AM1,8,2024,WB,207623,0.087947,0.8
EL,AM1,8,2024,WB,207624,0.085207,0.8
EL,AM1,8,2024,WB,207625,0.081787,0.8
EL,AM1,8,2024,WB,207626,0.078383,0.8
EL,AM1,8,2024,WB,207627,0.089774,0.8
EL,AM1,8,2024,WB,207628,0.087137,0.8
EL,AM1,8,2024,WB,207629,0.089697,0.8
EL,AM1,7,2024,WB,207630,0.08749,0.8
EL,AM1,7,2024,WB,207631,0.082294,0.8
EL,AM1,7,2024,WB,207632,0.080381,0.8
EL,AM1,7,2024,WB,207633,0.065453,0.8
EL,AM1,7,2024,WB,207634,0.089427,0.8
EL,AM1,7,2024,WB,207635,0.067824,0.8
EL,AM1,7,2024,WB,207636,0.083546,0.8
